,0,1,2,3
84,Monte da Ravasqueira 2018 Dona Vitoria Grande Escolha Red (Alentejano),90,"Named after the last queen of Portugal, this wine is structured with ...",$16
85,Casca Wines 2017 Bote Sailing Boat Reserva Red (Lisboa),90,This smoothly textured wine is full of ripe black fruits. Its soft ...,$15
86,Casa Relvas 2018 Herdade de São Miguel Colheita Seleccionada Red (Alentejano),90,"A bold, ripe wine that is full of black fruits and structured ...",$15
87,Casca Wines NV 1808 Varietal Expression Touriga Nacional (Portuguese Table Wine),90,"Firmly structured, but with a fine balance between the spicy wood aging ...",$25
88,Poças 2016 Símbolo Red (Douro),89,"The wine, even after three years, shows considerable wood aging. That gives ...",$100
89,Quinta de Chocapalha 2016 Castelão (Lisboa),89,Old vine Castelão has produced a rich wine that is full of ...,$15
90,Romana Vini 2017 Delirare Red (Tejo),89,"A blend of four grapes, the wine has a solid texture of ...",$12
91,Seacampo 2015 Casa Américo Unoaked Jaen (Dão),89,Jaen (a.k.a. Spanish Mencía) is one of the grapes that make up ...,$20
92,Seacampo 2013 Casa Américo Touriga Nacional (Dão),89,This 100% Touriga Nacional shows how well it shines in its home ...,$20
93,Casca Wines 2016 Bote Sailing Boat Reserva Red (Alentejano),89,"The 12 months in wood have given a ripe, smoky wine that ...",$15
94,Casca Wines 2017 1808 Colheita Syrah-Castelão-Aragonez Red (Lisboa),89,This is a rich blend that is solid with both juicy black ...,$8
95,Casca Wines 2018 1808 Reserva Red (Douro),89,A classic Douro texture gives a wine that is rich with firm ...,$16
96,Herdade do Esporão 2017 Colheita Red (Alentejo),89,"A silky smooth wine, soft on the tannins and rich on the ...",$15
97,DFJ Vinhos 2017 Pedras do Monte Cabernet Sauvignon-Tinta Roriz Red (Lisboa),89,"This is a ripe wine, with a smooth texture and bold blackberry ...",$10
98,DFJ Vinhos 2017 Point West Touriga Nacional (Lisboa),88,What has become Portugal's national grape works well in Lisboa. This example ...,$10
99,Romana Vini 2017 Villa Nogueira Red (Lisboa),88,"Mainly Touriga Nacional, this ripe wine with its touches of wood aging ...",$16
100,Casa Santos Lima 2017 Stones & Bones Red (Lisboa),88,"Despite its rather macabre name, the wine's title refers to the ancient ...",$13
101,J. Portugal Ramos 2018 Loios Red (Alentejano),88,"The wine is soft, fruity and spicy. Its red fruits and light ...",$10
102,Monte da Ravasqueira 2017 Guarda Rios Gold Edition Red (Alentejano),88,"This is a limited edition wine, full of black fruits and dense ...",$16
103,J. Portugal Ramos 2017 S&R Red (Alentejano),88,"This juicy, fruity wine has layers of acidity to balance its fruitiness. ...",$12
104,Quinta do Cavalinho 2014 Herdade dos Templários Grande Escolha Touriga Nacional (Tejo),88,"Aged for 15 months in wood, the wine has developed a smooth ...",$25
105,Casca Wines 2018 1808 Colheita Tinta Roriz-Touriga Franca-Touriga Nacional Red (Lisboa),88,"A dense and still tannic wine, this is has fine potential. Its ...",$8
106,Casca Wines 2018 1808 Colheita Tinta Roriz-Rufete Red (Beira Interior),88,"Produced from organically grown grapes in the mountainous interior of Portugal, the ...",$12
107,Casca Wines 2018 Bote Sailing Boat Tinta Roriz-Rufete Red (Beira Interior),88,"The wine comes from high-altitude, organically grown vineyards. Its tannins are spicy, ...",$9
108,Eden Rift 2018 Terraces Pinot Gris (Cienega Valley),93,"Very light in the glass, this bottling begins with a very taut ...",$32
109,Windchaser 2017 Pinot Gris (Anderson Valley),92,"This eye-opening wine is flavorful, concentrated and full bodied, clearly standing out ...",$28
110,Dopff & Irion 2014 L'Exception Brut Pinot Gris Sparkling (Crémant d'Alsace),92,Dried lemon-rind and yellow-apple notes combine with yeasty depth to create an ...,$25
111,Volpe Pasini 2017 Zuc di Volpe Pinot Grigio (Friuli Colli Orientali),91,Aromas of spring blossom and mature yellow apple waft out of the ...,$35
112,Colutta 2018 Pinot Grigio (Friuli Colli Orientali),90,Hawthorn and ripe green-apple aromas mingle together on this medium-bodied white. On ...,$20
113,Terlato 2018 Estate Bottled Pinot Grigio (Friuli Colli Orientali),90,"Aromas of white stone fruit, honeysuckle and a whiff of nut shape ...",$24
114,Bieler Family 2018 Daisy Pinot Grigio (Columbia Valley (WA)),90,"Inspired by the whites of northern Italy, this is a one-of-a-kind wine ...",$12
115,Canoe Ridge 2018 The Expedition Pinot Gris (Horse Heaven Hills),89,"Fresh, appealing aromas of apple, Bosc pear, flowers and heaping amounts of ...",$15
116,La Cave des Vignerons de Pfaffenheim 2014 Pfaff Pinot Gris Brut Sparkling (Crémant d'Alsace),89,Subtle notes of Golden Delicious apple mix with lemon notes on the ...,$25
117,La Tunella 2018 Pinot Grigio (Friuli Colli Orientali),89,Spring wild-flower and honeydew-melon aromas come together in the glass. On the ...,$22
118,Volpe Pasini 2018 Grivo Pinot Grigio (Friuli Colli Orientali),89,"Citrus-blossom and green-apple aromas form the nose, along with delicate whiffs of ...",$19
119,Cantarutti 2018 Pinot Grigio (Friuli Colli Orientali),89,"Aromas of white spring flower, wild herb and white stone fruit form ...",$16
120,Zvonko Bogdan 2017 Pinot Grigio (Serbia),89,"Straw colored in the glass, this Serbian Pinot Grigio has aromas of ...",$20
121,Waterbrook 2018 Pinot Gris (Columbia Valley (WA)),88,"Aromas of petroleum jelly, apple and cut canned pineapple lead to a ...",$15
122,La Viarte 2017 Pinot Grigio (Friuli Colli Orientali),88,"Medium bodied and structured, this has subtle aromas of mature yellow stone ...",$24
123,Dorigo 2018 Pinot Grigio (Friuli Colli Orientali),88,Aromas of green apple and almond follow over to the rounded palate ...,$16
124,Dorigo 2018 Pinorigo Pinot Grigio (Friuli Colli Orientali),88,"This copper-colored wine opens with aromas of wild berry, toasted nut and ...",$16
125,Maddalena 2018 Pinot Grigio (Monterey),88,"Key lime pith, crisp rainwater and Pink Lady apple aromas show on ...",$18
126,Maso Cantaghel 2017 Maso Papa Pinot Grigio (Vigneti delle Dolomiti),88,This opens with aromas of toasted oak and mature yellow apple that ...,$25
127,Conte d'Attimis-Maniago 2018 Pinot Grigio (Friuli Colli Orientali),88,Aromas of acacia flower and ripe yellow stone fruit form the nose. ...,$20
128,Castelfeder 2018 Mont Mès Pinot Grigio (Vigneti delle Dolomiti),87,"Honeysuckle and Granny Smith apple aromas flow over to the tangy palate, ...",$15
129,Revalation 2016 Quatre Blancs White (Virginia),87,"A blend of 70% Petit Manseng, 13% Sauvignon Blanc, 9% Pinot Gris ...",$27
130,Wine Cube 2018 Pinot Grigio (California),86,"Fresh lemon-lime aromas and tangy, green-apple flavors give this light-bodied wine an ...",$18
131,Castel Sallegg 2017 Pinot Grigio (Alto Adige),86,"This evokes aromas of toasted hazelnut, beeswax and mature yellow stone fruit. ...",N/A
132,Torre Rosazza 2018 Pinot Grigio (Friuli Colli Orientali),86,"Aromas of Granny Smith apple follow over to the easygoing palate, along ...",$28
133,Terre di Fohn 2018 Pinot Grigio (Vigneti delle Dolomiti),86,This simple white has subdued aromas of white spring flower and green ...,N/A
134,La Vis 2018 Pinot Grigio (Trentino),86,"Fresh and fun, this offers aromas and flavors of Granny Smith apple ...",N/A
135,Luna Nuda 2018 Pinot Grigio (Vigneti delle Dolomiti),84,This informal white has subdued one-dimensional aromas suggesting bitter almond. On the ...,$13
136,Cantine di Ora 2018 Il Casato Pinot Grigio (Valdadige),84,This simple white has pungent aromas of over-mature orange rind and extremely ...,N/A
137,DRNK 2018 Morning Sun Vineyard Pinot Gris (Bennett Valley),92,"Fermented in both amphora and neutral French oak, whole-cluster pressed, this is ...",$32
138,Cardwell Hill 2018 Estate Bottled Pinot Gris (Willamette Valley),92,"Even with a price increase this remains a top tier, superb value ...",$18
139,I. Brand & Family 2018 Eden Rift Vineyard Pinot Gris (Cienega Valley),92,"With dynamic and complex expressions like this, it's a wonder why people ...",$30
140,Lange 2018 Reserve Pinot Gris (Willamette Valley),91,"The reserve is more serious than the Classique, with less front-loaded fruit ...",$28
141,Fullerton 2018 Three Otters Pinot Gris (Willamette Valley),91,"This aromatic wine entices with scents of graham cracker, honey and beeswax. ...",$20
142,Lange 2018 Classique Pinot Gris (Willamette Valley),91,"This is a lovely, lively wine loaded with the flesh and skin ...",$19
143,Lumen 2017 Sierra Madre Vineyard Pinot Gris (Santa Maria Valley),91,"Aromas of peach, chamomile, lemongrass and wax make for a complex entry ...",$30
144,Sinor-LaVallee 2018 Pinot Gris (San Luis Obispo County),91,"Seared lime, melon rind and wet stone show on the nose of ...",$20
145,Authentique 2017 Leisure Skin Contact Pinot Gris (Eola-Amity Hills),91,"This delicious rosé is all Pinot Gris, fermented and aged in a ...",$28
146,A to Z 2018 Pinot Gris (Oregon),90,"This widely available wine offers immaculate fruit flavors of apple, pear and ...",$15
147,Navarro 2018 Pinot Gris (Anderson Valley),90,Ripe and lively apple and pear flavors seem to light up this ...,$22
148,Carlton Cellars 2018 Pinot Gris (Willamette Valley),90,"A light, clean, fresh wine, this opens with scents of calla lily, ...",$14
149,Château Bianca 2018 Pinot Gris (Van Duzer Corridor),90,"A nice effort, fresh and leesy, this fills the palate with clean ...",$15
150,Alexana 2018 Terroir Series Pinot Gris (Willamette Valley),90,"A fruit-powered wine, this is loaded with apple, melon and pear, and ...",$32
151,Saint Gregory 2016 Pinot Gris (Mendocino County),90,"This is an extra spicy, barrel-fermented and lees-aged wine that adds hints ...",$15
152,Left Coast 2018 The Orchard Estate Pinot Gris (Willamette Valley),90,"This wine is replete with bright flavors of lemon, lime and grapefruit. ...",$18
153,Cloudveil 2018 Pinot Gris (Oregon),89,"The aromas pop, with notes of kiwi, flowers and nectarine. Off-dry drinking ...",$13
154,Tamarack Cellars 2018 Pinot Gris (Columbia Valley (WA)),89,"Pear and apple aromas are followed by full-bodied, textured, drawn out flavors. ...",$20
155,Punt Road 2018 Airlie Bank Gris Fermented on Skins Pinot Gris (Yarra Valley),89,"This Pinot Gris remains on its skins for three months, resulting in ...",$23
156,SeaGlass 2018 Pinot Grigio (Central Coast),89,"Broad aromas of Meyer lemon, lime balm and citrus blossoms show on ...",$12
157,Terra d'Oro 2018 Pinot Grigio (Clarksburg),89,"This wine smells gorgeously fruity, tastes ripe and pure like freshly cut ...",$17
158,Anaya 2017 Potrero Vineyards Pinot Gris (Clements Hills),88,"Fragrant and floral in aroma and flavor, this medium-bodied wine is packed ...",$32
159,Folie à Deux 2018 Pinot Gris (Sonoma Coast),88,"Guava, pineapple and lemon-lime flavors make for a fleshy, brightly layered expression ...",$18
160,Laurelwood 2017 Pinot Gris (Willamette Valley),88,"Nicely fruity with fresh flavors of apple and pear, this is a ...",$24
161,Punt Road 2018 Pinot Gris (Yarra Valley),88,"A relatively austere expression of this grape variety, this wine starts out ...",$30
162,Cave Jean Geiler NV Riesling Brut Sparkling (Crémant d'Alsace),92,"Honeyed, ripe apples and yellow plums features on the nose of this ...",$37
163,Bieler Family 2018 Daisy Pinot Grigio (Columbia Valley (WA)),90,"Inspired by the whites of northern Italy, this is a one-of-a-kind wine ...",$12
164,Blustone 2018 BLU Sparkling Riesling (Leelanau Peninsula),89,"A lovely nose sets the tone delivering notes of ripe white peach, ...",$22
165,Maddalena 2016 Riesling (Monterey),86,A strong petrol character shows on the nose of this bottling alongside ...,$16
166,Cameron Hughes 2016 Lot 622 Riesling (Columbia Valley (WA)),85,"Aromas of diesel, lime and lime leaf lead to medium-sweet ripe peach ...",$12
167,Wilson Creek 2018 Winemaker's Select Riesling (Temecula Valley),83,"Extremely vinous on the nose, this wine smells of sour lime and ...",$29
